Cidade_estacao;Codigo_estacao;Latitude_estacao;Longitude_estacao;0.5;0.5;0.5
 JUI; A920;-11.375126;-58.774785;64-10;64-10;64-10
 SAO FELIX DO ARAGUAIA; A921;-11.61888888;-50.72777777;64-10;64-10;64-10
 VILA BELA DA SANTISSIMA TRINDADE; A922;-15.06277777;-59.87305554;64-10;64-10;64-10
 PORTO VELHO; A925;-8.7936111;-63.84583333;64-10;64-10;64-10
 CARLINDA; A926;-9.97055554;-55.82749999;64-10;64-10;64-10
 BRASNORTE (NOVO MUNDO); A927;-12.52194443;-58.23138888;64-10;64-10;64-10
 NOVA MARINGA; A928;-13.0386111;-57.09222221;64-10;64-10;70-10
 NOVA UBIRATA; A929;-13.41111111;-54.75222222;64-10;64-10;64-10
 GAUCHA DO NORTE; A930;-13.18472221;-53.2575;64-10;64-10;64-10
 SANTO ANTONIO DO LESTE; A931;-14.92777777;-53.8836111;64-10;64-10;64-10
 GUIRATINGA; A932;-16.34166666;-53.76611111;64-10;64-10;70-10
 ITIQUIRA; A933;-17.17499999;-54.50166666;64-10;64-10;64-10
 ALTO TAQUARI; A934;-17.8411111;-53.28944444;58-10;64-10;64-10
 PORTO ESTRELA; A935;-15.32472221;-57.22583332;64-10;64-10;64-10
 SALTO DO CEU; A936;-15.12472221;-58.12722221;64-10;64-10;64-10
 PONTES E LACERDA; A937;-15.23444444;-59.3461111;64-10;64-10;64-10
 VILHE; A938;-12.73499999;-60.15777777;58-10;64-10;64-10
 CACOAL; A939;-11.445837;-61.434146;64-10;64-10;64-10
 ARIQUEMES; A940;-9.94888888;-62.96194444;64-10;64-10;64-10
