Cidade_estacao;Codigo_estacao;Latitude_estacao;Longitude_estacao;0.5;0.5;0.5
 JOAO PINHEIRO;83481;-17.74027777;-46.17694443;64-10;64-10;64-10
 PIRAPORA;83483;-17.34916666;-44.92166666;64-10;64-10;64-10
 CARBONITA;83485;-17.533008;-43.012091;58-10;64-10;64-10
 ITAMARANDIBA;83488;-17.85972222;-42.85277777;58-10;58-10;64-10
 TEOFILO OTONI;83492;-17.86027777;-41.5075;64-10;64-10;64-10
 CARAVELAS;83498;-17.73944444;-39.25861111;58-10;58-10;58-10
 NHUMIRIM (NHECOLANDIA);83513;-18.9886111;-56.62277777;64-10;64-10;64-10
 CAPINOPOLIS;83514;-18.7261111;-49.56222222;64-10;64-10;64-10
 ITUIUTABA;83521;-18.952916;-49.525072;64-10;64-10;64-10
 IPAMERI;83522;-17.724527;-48.171916;64-10;64-10;64-10
 ITUMBIARA;83523;-18.40972222;-49.19194444;64-10;64-10;64-10
 CATALAO;83526;-18.17027777;-47.95805555;64-10;64-10;64-10
 PATOS DE MIS;83531;-18.51972221;-46.43916666;58-10;64-10;64-10
 BOM DESPACHO;83533;-19.71944443;-45.36749999;64-10;64-10;64-10
 CURVELO;83536;-18.74749999;-44.45472222;64-10;64-10;64-10
 DIAMANTI;83538;-18.2386111;-43.61694443;58-10;58-10;58-10
 ECOPORANGA;83546;-18.365694;-40.840656;64-10;64-10;64-10
 SAO MATEUS;83550;-18.71388888;-39.8486111;58-10;64-10;64-10
 CORUMBA;83552;-19.00461;-57.672338;64-10;64-10;64-10
 BOA ESPERANCA;83557;-18.53722221;-40.27222221;64-10;64-10;64-10
 PARAIBA;83565;-19.66361111;-51.19138888;64-10;64-10;64-10
 POMPEU;83570;-19.228937;-45.001336;64-10;64-10;64-10
 FRUTAL;83574;-20.034803;-48.930435;64-10;64-10;64-10
 UBERABA;83577;-19.73722221;-47.94972221;64-10;64-10;64-10
 ARAXA;83579;-19.60555555;-46.94972221;58-10;58-10;64-10
 FLORESTAL;83581;-19.885422;-44.416889;58-10;64-10;64-10
 BAMBUI;83582;-20.0311111;-46.00888888;58-10;64-10;64-10
 SETE LAGOAS;83586;-19.48454;-44.173798;58-10;64-10;64-10
 BELO HORIZONTE;83587;-19.93444444;-43.95222222;58-10;58-10;64-10
 C. DO MATO DENTRO;83589;-19.020355;-43.433948;58-10;64-10;64-10
 JOAO MONLEVADE;83591;-19.82388888;-43.14416666;58-10;58-10;58-10
 CARATINGA;83592;-19.73583333;-42.13722221;58-10;58-10;64-10
 AIMORES;83595;-19.494872;-41.077647;64-10;64-10;64-10
 MARILANDIA (COLATI);83596;-19.40722222;-40.53972221;64-10;64-10;64-10
 LINHARES;83597;-19.416256;-40.073235;58-10;64-10;64-10
 TRES LAGOAS;83618;-20.794867;-51.713519;64-10;64-10;64-10
 VOTUPORANGA;83623;-20.43972221;-49.9836111;64-10;64-10;64-10
 FRANCA;83630;-20.584314;-47.382427;58-10;64-10;64-10
 SAO S.DO PARAISO;83631;-20.909923;-47.114243;58-10;64-10;64-10
 IBIRITE;83632;-20.01666666;-44.08472221;58-10;58-10;64-10
 DIVINOPOLIS;83635;-20.173283;-44.874742;58-10;64-10;64-10
 OLIVEIRA;83637;-20.699773;-44.819903;58-10;58-10;58-10
 CAPARAO;83639;-20.526119;-41.90913;58-10;58-10;58-10
 VICOSA;83642;-20.7625;-42.86388888;58-10;58-10;58-10
 VITORIA;83648;-20.31583333;-40.31694443;58-10;64-10;64-10
 SAO SIMAO;83669;-21.461019;-47.579512;64-10;64-10;64-10
 CATANDUVA;83676;-21.122377;-48.947513;64-10;64-10;64-10
 CALDAS(P. DE CALDAS);83681;-21.918139;-46.382977;58-10;58-10;58-10
 MACHADO;83683;-21.68138888;-45.94083333;58-10;64-10;64-10
 LAVRAS;83687;-21.2261111;-44.97972221;58-10;58-10;64-10
 BARBACE;83689;-21.23962;-43.781458;58-10;58-10;58-10
 JUIZ DE FORA;83692;-21.76999999;-43.36444444;58-10;58-10;58-10
 ITAPERU;83695;-21.20444444;-41.90555555;64-10;64-10;64-10
 SANTA MARIA MADALE;83696;-21.96805554;-42.00305555;58-10;58-10;58-10
 CAMPOS;83698;-21.74249999;-41.33277777;64-10;64-10;64-10
 PONTA PORA;83702;-22.5525;-55.71638888;58-10;64-10;64-10
 IVINHEMA;83704;-22.300371;-53.822894;64-10;64-10;64-10
 CAMPOS DO JORDAO;83714;-22.75027777;-45.60388888;52-10;52-10;58-10
 PRESIDENTE PRUDENTE;83716;-22.119874;-51.408624;64-10;64-10;64-10
 CORDEIRO;83718;-22.02222221;-42.36444444;58-10;58-10;64-10
 SAO CARLOS;83726;-21.98027777;-47.88388888;58-10;64-10;64-10
 SAO LOURENCO;83736;-22.126273;-45.043327;58-10;58-10;64-10
 PASSA QUATRO;83737;-22.382805;-44.966902;58-10;58-10;58-10
 RESENDE;83738;-22.45111111;-44.44472221;58-10;64-10;64-10
 RIO DE JANEIRO;83743;-22.89555555;-43.18472221;64-10;64-10;64-10
 TERESOPOLIS;83744;-22.41722221;-42.97222221;58-10;58-10;58-10
 LONDRI;83766;-23.32555554;-51.14166666;64-10;64-10;64-10
 MARINGA;83767;-23.4;-51.91666666;58-10;64-10;64-10
 AVARE;83773;-23.083579;-48.911718;58-10;58-10;64-10
 SAO PAULO(MIR.de SANTA);83781;-23.49638888;-46.61999999;58-10;58-10;64-10
 CAMPO MOURAO;83783;-24.08555555;-52.38666666;58-10;58-10;58-10
 TAUBATE;83784;-23.0388889;-45.5158333;58-10;64-10;64-10
 UBATUBA;83786;-23.416697;-45.114373;58-10;58-10;64-10
 ANGRA DOS REIS;83788;-23.01583333;-44.32972221;58-10;58-10;64-10
 SANTA CRUZ;83789;-22.92194443;-43.68694444;64-10;64-10;64-10
 REALENGO;83801;-22.8711111;-43.44138888;64-10;64-10;64-10
 SANTO ANTONIO DE PADUA;83805;-21.53694444;-42.16083333;64-10;64-10;64-10
 CARMO;83807;-21.93583333;-42.60611111;64-10;64-10;64-10
 IVAI;83811;-25.010781;-50.853718;58-10;58-10;58-10
 CASTRO;83813;-24.78694444;-49.99916666;58-10;58-10;58-10
 IGUAPE;83821;-24.671656;-47.545896;58-10;58-10;58-10
 IRATI;83836;-25.502846;-50.637609;58-10;58-10;58-10
 CURITIBA;83842;-25.4486111;-49.23055554;58-10;58-10;58-10
 PARAGUA;83844;-25.5361111;-48.52833332;58-10;64-10;64-10
 SOROCABA;83851;-23.47999999;-47.42666666;58-10;64-10;64-10
 INDAIAL;83872;-26.91361111;-49.26805554;64-10;64-10;64-10
